"nch","z","interval_in_tau","sig","zmax"
50,0.2,0.05,TRUE,0.0488543086912725
50,0.2,0.1,TRUE,0.0449992274152983
50,0.2,0.2,TRUE,0.0481552303097311
50,0.2,0.5,TRUE,0.0454464052464948
50,0.2,1,FALSE,0.0185751717935758
50,0.5,0.01,TRUE,0.0423624520272426
50,0.5,0.02,TRUE,0.0406493124934155
50,0.5,0.05,FALSE,0.0296869688025483
50,0.5,0.1,TRUE,0.0542442758520299
50,0.5,0.2,TRUE,0.056240952357478
50,0.5,0.5,TRUE,0.0399043480647543
50,0.5,1,TRUE,0.0358339329464637
50,1,0.01,FALSE,0.01837781092195
50,1,0.02,TRUE,0.0437508134963652
50,1,0.05,FALSE,0.0144871310998509
50,1,0.1,FALSE,0.016020952444685
50,1,0.2,TRUE,0.0406702234126587
50,1,0.5,FALSE,0.0221387981542315
50,1,1,FALSE,0.0211319352032407
50,10,0.01,TRUE,0.0267893604933941
50,10,0.02,FALSE,0.0195473785154188
50,10,0.05,FALSE,0.0251536513257298
50,10,0.1,FALSE,0.00920237073308209
50,10,0.2,FALSE,0.0102340073073545
50,10,0.5,FALSE,0.0154965252807566
50,10,1,FALSE,0.00844188301192284
100,0.05,0.01,TRUE,0.0548048097762589
100,0.05,0.02,TRUE,0.0331198238973625
100,0.05,0.05,TRUE,0.0493621565373807
100,0.05,0.1,TRUE,0.0299840228764738
100,0.05,0.2,TRUE,0.0309031334324761
100,0.05,0.5,FALSE,0.0146929179410913
100,0.05,1,TRUE,0.036886122843068
100,0.1,0.01,TRUE,0.0366560399681945
100,0.1,0.02,TRUE,0.0426633483466433
100,0.1,0.05,TRUE,0.0350711660134376
100,0.1,0.1,FALSE,0.0234778899105284
100,0.1,0.2,TRUE,0.0406890004019724
100,0.1,0.5,TRUE,0.0282225111472178
100,0.1,1,FALSE,0.0133713543603943
100,0.2,0.01,TRUE,0.0293311708895073
100,0.2,0.02,FALSE,0.0266782597359459
100,0.2,0.05,TRUE,0.0369337494788226
100,0.2,0.1,FALSE,0.0188042559996594
100,0.2,0.2,FALSE,0.0091744427090887
100,0.2,0.5,TRUE,0.0293118043426452
100,0.2,1,TRUE,0.0380928555616252
100,0.5,0.01,TRUE,0.0396841941774375
100,0.5,0.02,FALSE,0.00926342839983267
100,0.5,0.05,FALSE,0.0187454454405778
100,0.5,0.1,FALSE,0.0204102757053304
100,0.5,0.2,FALSE,0.023991984227596
100,0.5,0.5,FALSE,0.013880117070471
100,0.5,1,FALSE,0.0151471546574074
100,1,0.01,FALSE,0.0270176361033401
100,1,0.02,TRUE,0.032752542456116
100,1,0.05,FALSE,0.0158165343258612
100,1,0.1,FALSE,0.0175941657912417
100,1,0.2,FALSE,0.00740571089456599
100,1,0.5,TRUE,0.0299913414906278
100,1,1,FALSE,0.0119146976449658
100,10,0.01,FALSE,0.0159599452781253
100,10,0.02,FALSE,0.00794103191355281
100,10,0.05,FALSE,0.0220870895979386
100,10,0.1,FALSE,0.00881862364807388
100,10,0.2,FALSE,0.0164057753513231
100,10,0.5,FALSE,0.0129269761231601
100,10,1,FALSE,0.0112305818322237
100,100,0.01,FALSE,0.00715232891133619
100,100,0.02,FALSE,0.012378496837313
100,100,0.05,FALSE,0.0111833280162049
100,100,0.1,FALSE,0.0194785140161247
100,100,0.2,FALSE,0.0175709824843735
100,100,0.5,FALSE,0.0109091700338462
100,100,1,FALSE,0.00533871618379578
100,1000,0.01,FALSE,0.0147365147784801
100,1000,0.02,FALSE,0.0153483663039124
100,1000,0.05,FALSE,0.0197253749532167
100,1000,0.1,TRUE,0.028300952660928
100,1000,0.2,FALSE,0.0138418295186242
100,1000,0.5,FALSE,0.00846886149436615
100,1000,1,TRUE,0.0262329878171673
100,10000,0.01,FALSE,0.00719013160561403
100,10000,0.02,FALSE,0.0194411640214739
100,10000,0.05,FALSE,0.0131293911693261
100,10000,0.1,FALSE,0.0103091175427018
100,10000,0.2,FALSE,0.00892626297880847
100,10000,0.5,FALSE,0.00970758117416428
100,10000,1,FALSE,0.0143148166280964
100,1e+05,0.01,FALSE,0.015382975761469
100,1e+05,0.02,FALSE,0.0256521784283322
100,1e+05,0.05,FALSE,0.0192374046874513
100,1e+05,0.1,FALSE,0.0228418578477384
100,1e+05,0.2,FALSE,0.0168200042031195
100,1e+05,0.5,FALSE,0.0133058427569242
100,1e+05,1,FALSE,0.0275900133383024
200,0.05,0.01,FALSE,0.00788753713337522
200,0.05,0.02,FALSE,0.0168387928600053
200,0.05,0.05,FALSE,0.0149450607551707
200,0.05,0.1,FALSE,0.0206770790352639
200,0.05,0.2,FALSE,0.0137456409608424
200,0.05,0.5,FALSE,0.0146531839605326
200,0.05,1,FALSE,0.0263384785611359
200,0.1,0.01,FALSE,0.0178973161083119
200,0.1,0.02,FALSE,0.00759969629641214
200,0.1,0.05,FALSE,0.0139958824932163
200,0.1,0.1,FALSE,0.0130282218713845
200,0.1,0.2,FALSE,0.0151628587777732
200,0.1,0.5,FALSE,0.0153167964939609
200,0.1,1,FALSE,0.0115626484820369
200,0.2,0.01,FALSE,0.01983300639607
200,0.2,0.02,FALSE,0.00822711501092655
200,0.2,0.05,FALSE,0.0241434286271894
200,0.2,0.1,FALSE,0.0113382963783075
200,0.2,0.2,FALSE,0.0103824796672348
200,0.2,0.5,FALSE,0.019323801420075
200,0.2,1,FALSE,0.0185926001142237
200,0.5,0.01,FALSE,0.0182364212822332
200,0.5,0.02,FALSE,0.0208890872691049
200,0.5,0.05,FALSE,0.0161407216638077
200,0.5,0.1,FALSE,0.0170029177110507
200,0.5,0.2,TRUE,0.0324825703243183
