nch,z,anchor,dir,interval,dAI,ebar,aniso,zmax,znrm
20,0.05,pool,1c2ae6f,0.02,0.6891335397982994,0.06411787407853217,0.2739338195674371,0.0021776063579477516,0.0032294557821165018
20,0.05,pool,1c2ae6f,0.05,0.633251818768339,0.04963600941341329,0.25371423077630684,0.0016537183493177672,0.002913041361946812
20,0.05,pool,1c2ae6f,0.1,0.5780350704796954,0.017206285295465987,0.2353537072799338,0.003587666626326384,0.004607974744569801
20,0.05,pool,1c2ae6f,0.2,0.4594570508237332,0.024398979968169667,0.18597890570829068,0.0011778155197016283,0.0013049108197836664
20,0.05,pool,1c2ae6f,0.5,0.29283847046043593,0.013512786745300705,0.11878467728616049,7.339531730756971e-4,0.0010083232902019135
20,0.05,pool,1c2ae6f,1,0.42760321417902364,0.03883170132586694,0.17019454682267973,0.0020177294055860307,0.002837605020774289
20,0.05,sim,1c2ae6f,0.01,0.702587207559558,0.08365099983914659,0.2743610290541169,0.1723448338631835,0.17861722959898238
20,0.05,sim,1c2ae6f,0.02,0.6907688443758568,0.0665339060633344,0.27404410606813184,0.1403569385698685,0.16157568553275056
20,0.05,sim,1c2ae6f,0.05,0.6391654827546592,0.04492268903880015,0.2570422229913911,0.11260850660993856,0.15782732316784653
20,0.05,sim,1c2ae6f,0.1,0.5951480543394408,0.003364781268190388,0.2429448758004325,0.12120242731080137,0.15634794499802926
20,0.05,sim,1c2ae6f,0.2,0.4886050243457918,-0.013039117607947001,0.1990455384612562,0.17502853758436068,0.19666225652013986
20,0.05,sim,1c2ae6f,0.5,0.3229394151125138,-0.0537109376261687,0.1204025725840326,0.10933765022646448,0.2128911938310031
20,0.05,sim,1c2ae6f,1,0.34268472367407643,-0.021963263974227393,0.1381656674993035,0.09447157906343816,0.16630431117220867
20,0.1,pool,1c2ae6f,0.01,0.5661584974201109,0.038783931758010697,0.2278560525219587,0.0021463549195971593,0.0024928002107966374
20,0.1,pool,1c2ae6f,0.02,0.5427960104410153,0.038514898307286084,0.21822279311174902,0.0016945766531407532,0.0028868947737003036
20,0.1,pool,1c2ae6f,0.05,0.5244809080845663,0.02554818277171106,0.21258879128793487,4.334947200057379e-4,7.032882098405776e-4
20,0.1,pool,1c2ae6f,0.1,0.46955956411623945,0.01968942742326101,0.19068304545304912,0.00161712079770405,0.0024263017086452363
20,0.1,pool,1c2ae6f,0.2,0.3833709478032942,0.01482236634626003,0.15580707533944005,0.0014768134108638805,0.0022054992271176143
20,0.1,pool,1c2ae6f,0.5,0.2291829364238103,0.01600063826719933,0.09218522639961867,0.001101646420007396,0.0016371000816567181
20,0.1,pool,1c2ae6f,1,0.41378918201174797,0.04796410815183424,0.1619764144997384,0.0012719894949702224,0.002037989635320655
20,0.1,sim,1c2ae6f,0.01,0.5682563110145091,0.04748334063661255,0.2270782644742201,0.14614873659486516,0.15108666716062413
20,0.1,sim,1c2ae6f,0.02,0.5440238707771214,0.04300654647491759,0.21789316714739154,0.13949217524075405,0.14512707497807162
20,0.1,sim,1c2ae6f,0.05,0.529398991339879,0.024859742714340338,0.21469173683242607,0.09511317971581837,0.12061393043781102
20,0.1,sim,1c2ae6f,0.1,0.4765010295893586,0.013075857952535299,0.19409077035953629,0.09265199279462245,0.12022267636360388
20,0.1,sim,1c2ae6f,0.2,0.3973593681458385,-0.009489356530935042,0.16194349844366132,0.15316902396839058,0.16670958425434482
20,0.1,sim,1c2ae6f,0.5,0.2559328747673814,-0.04041846106147777,0.09634981786804007,0.11627996236250383,0.17505115211038086
20,0.1,sim,1c2ae6f,1,0.3253991683485737,-0.011861392734437676,0.1323130523520765,0.07311951196171498,0.13963509770904176
20,0.2,pool,1c2ae6f,0.01,0.43544908172841496,0.014106151372357748,0.1772107980809299,0.0024242213060966713,0.003277488030908012
20,0.2,pool,1c2ae6f,0.02,0.39553088288684785,0.01519886201207822,0.1607579167975231,0.003076127011997509,0.0035774318578439945
20,0.2,pool,1c2ae6f,0.05,0.3813058332176154,0.008001256688261208,0.15546168756011414,0.0011308707796886923,0.0016240901000592785
20,0.2,pool,1c2ae6f,0.1,0.3749664432646209,-0.007146849886658211,0.15291248520788267,0.002137137928040723,0.0024735010387474405
20,0.2,pool,1c2ae6f,0.2,0.30954830135160893,0.007112523027254435,0.12617225194602494,0.0015933423095688096,0.0022383665451873153
20,0.2,pool,1c2ae6f,0.5,0.20720938728594118,0.0025928013090320626,0.08455313365733058,0.0010865224191841068,0.0013773591880221906
20,0.2,pool,1c2ae6f,1,0.35505499539735375,0.037935975763549734,0.1398983084326011,0.001647735625999194,0.002062889606362449
20,0.2,sim,1c2ae6f,0.01,0.4352328621200991,0.023496111789043535,0.17612270374847275,0.12552694113211285,0.12954385094215812
20,0.2,sim,1c2ae6f,0.02,0.39543569103346676,0.020797628739817792,0.16009067096280138,0.11357451125732479,0.11913894822202567
20,0.2,sim,1c2ae6f,0.05,0.38454953882417603,0.00749962304883719,0.15681245790999226,0.08192532905498405,0.11001558457266011
20,0.2,sim,1c2ae6f,0.1,0.38054157650682796,-0.007843148612728036,0.15515734034055773,0.08316037234625337,0.11448426319475843
20,0.2,sim,1c2ae6f,0.2,0.3100594716381184,-0.0031332712849502513,0.12654246429482252,0.09201330798461893,0.11336295522254959
20,0.2,sim,1c2ae6f,0.5,0.22373944618257324,-0.03794485290675077,0.08308677051271447,0.09376279077596436,0.12512855395618278
20,0.2,sim,1c2ae6f,1,0.2932457650586632,-0.006978863191496357,0.11951349403321712,0.06074862205576851,0.11264953155259484
20,0.5,pool,1c2ae6f,0.01,0.2642738342913756,0.004673839437682756,0.10778805657441055,9.183103455325276e-4,0.0017633304411398994
