interval,mean,q025,q16,q5,q84,q975,nch,z
0.5,0.116106091538531,0.08752321962375552,0.1009522733490359,0.1155368466655677,0.1311488601759439,0.1477341801109421,10,100
0.2,0.1024305039390365,0.07262763310289871,0.08777955868367167,0.1016754583943281,0.1178235958970939,0.1328711922579878,10,100
0.1,0.1060849484331505,0.07710477151151851,0.09133264830081109,0.1029892200705138,0.127131514749514,0.1350081918280581,10,100
0.05,0.1099070701620236,0.07518673442397707,0.09717698032220352,0.1082765670380526,0.125081229325842,0.1469597107099275,10,100
0.02,0.0941861630219088,0.06598062489568805,0.0817916416567598,0.09544319761447254,0.1068401642905369,0.1183253409887689,10,100
0.01,0.1059902772958693,0.08068122899063948,0.09086349500625596,0.1048053124508582,0.1201228375148207,0.1355757489747352,10,100
1,0.1195138551517264,0.09178197029987606,0.1043147893012408,0.119371801408095,0.1346627772513581,0.1569292458711792,10,1000
0.5,0.1052828118723934,0.0782423761073832,0.08996788317052262,0.1054789475355316,0.12063866127868,0.1363020896516476,10,1000
0.2,0.098802210945239,0.0723977985163824,0.08528313281537234,0.0994555338922672,0.111451592570584,0.1222345882598163,10,1000
0.1,0.1082343768031639,0.08000305299605875,0.093736208441477,0.1076002823754212,0.1233354858063631,0.144350640070512,10,1000
0.05,0.09886859330619942,0.07384634478979028,0.08486990255115055,0.09867278038162676,0.1094814096348688,0.1318033022532784,10,1000
0.02,0.1079609147245904,0.08715314838278404,0.09556720779865156,0.1064379516844356,0.1201231614412802,0.1369145023011736,10,1000
0.01,0.106582608179021,0.07497457999874063,0.09078792394431548,0.1068635988064317,0.1204029368663296,0.1425485558272697,10,1000
1,0.1078191275319039,0.07691746177724584,0.0928161462175384,0.1045239304440667,0.1224794075726879,0.1473551916747141,10,10000
0.5,0.08590746500905684,0.05943631548520525,0.07283050449304874,0.08607389674589191,0.09742857478787256,0.1133790665204754,10,10000
0.2,0.1070190482703705,0.07837085322791498,0.094211609395609755,0.1055913708861321,0.1227250881784728,0.1327024229272249,10,10000
0.1,0.1066710876828294,0.07134007894373595,0.08931933747590416,0.1057960657332641,0.126834987522305,0.1406671298840295,10,10000
0.05,0.08612680314045998,0.05857731609573927,0.07234347804592037,0.08659801979433011,0.0979218487938428,0.1126478489473332,10,10000
0.02,0.1024194395101456,0.07491392526760488,0.08948567509478694,0.1033202471373856,0.1160738348820844,0.1296740784932642,10,10000
0.01,0.1011706861983519,0.07392742602031929,0.0873181585609559,0.1008552098051091,0.1149299751752668,0.1335679343048926,10,10000
1,0.3510077464383267,0.3110341759544195,0.3340920224252199,0.3510924360940809,0.3670885542100306,0.3909968247238947,20,0.05
0.5,0.330699268601541,0.3049911729947385,0.3160832425103464,0.3274354303909972,0.3465264504381175,0.3605206012658977,20,0.05
0.2,0.4933888538454166,0.4610777938402854,0.4755805146815303,0.4946549971621,0.505662073760366,0.5253145018910961,20,0.05
0.1,0.5986284228716339,0.5726782702411845,0.5849011812399012,0.5970962482041722,0.6139691346202746,0.6237419417686535,20,0.05
0.05,0.6423493124939654,0.6083399485184312,0.628515254556236,0.6430396068094193,0.6555285830506392,0.6706943854617577,20,0.05
0.02,0.6935909580223816,0.6602071416591376,0.6787813655295336,0.6950244807816344,0.7102185378908559,0.7197619275341811,20,0.05
0.01,0.70557276248382494,0.6761362188073663,0.6904799815133937,0.7049944396976622,0.7197829811444303,0.7366578282728778,20,0.05
1,0.3344800480054761,0.2919541427859013,0.3126654407081269,0.3353061885881343,0.3566071774524545,0.3664629407089977,20,0.1
0.5,0.2658378377318366,0.2325130228580362,0.248635440515873,0.2658098787294021,0.284688795751369,0.294628994198375,20,0.1
0.2,0.4031484108731641,0.3718067957034509,0.3904076168901106,0.4017138853009301,0.4192602140453881,0.4355680862603077,20,0.1
0.1,0.4810550335704875,0.4432649239141417,0.4657831665264062,0.4819390084612475,0.4983218533230979,0.5104114703868672,20,0.1
0.05,0.5332811961373475,0.5010966372283361,0.5188275359648884,0.5331478372006707,0.5481810714605003,0.5668733059648661,20,0.1
0.02,0.5478281732056215,0.5181848006125539,0.532028565882787,0.5474594895134799,0.5628682139925422,0.5745048883772803,20,0.1
0.01,0.5718156928026601,0.546731560924459,0.5569337786428603,0.5731045677069736,0.587768037093317,0.5990386803522507,20,0.1
1,0.3025947160087948,0.2672908549231505,0.2829638594512233,0.3015740974851921,0.3250383326779583,0.3366135278584704,20,0.2
0.5,0.233919091484032,0.2006351751887633,0.2184411650478961,0.2342392807641804,0.2476681697693571,0.2626331901039973,20,0.2
0.2,0.3173596962661843,0.2883010677677074,0.2992069253445938,0.3178457368547551,0.33281271339302537,0.3457268105061928,20,0.2
0.1,0.3861675168681422,0.3568453218556075,0.3702561848057524,0.386513696300369,0.4008379491869641,0.4208194605182686,20,0.2
0.05,0.3899502124854471,0.3558186593676167,0.3749464995409761,0.3894564915171693,0.4053927782002144,0.4232748640396593,20,0.2
0.02,0.4003661976747708,0.3698928335549498,0.3861228956804829,0.4016659188510615,0.416016873941245,0.4267276771393961,20,0.2
0.01,0.4401905544792089,0.4164760988263643,0.4273965590221445,0.4397048990681933,0.4535507919010558,0.4634840153466936,20,0.2
1,0.2459709945789391,0.2078799432781718,0.2261369145521398,0.2467188945426207,0.265375186327976,0.289390971761632,20,0.5
0.5,0.1740094724032233,0.1388332025242864,0.1571922370539422,0.1738109103772714,0.1923149476466793,0.2061159519417273,20,0.5
0.2,0.2296927142711739,0.1957374623819776,0.2156799033224144,0.2301373460180564,0.2442791444300606,0.2574233194749194,20,0.5
0.1,0.2737428789865647,0.2437764176084021,0.2587295615155883,0.2753579785438879,0.2867297832371026,0.2983308975336347,20,0.5
0.05,0.2954447172400785,0.2691731359681784,0.2788285633404362,0.2974249743727856,0.3075929001381429,0.3190816356725917,20,0.5
0.02,0.2881932622685739,0.2618031605528917,0.2737226004663146,0.2890954294642015,0.3022360481663114,0.3153012335230964,20,0.5
0.01,0.275234691526588,0.2455110908244338,0.2595321382544159,0.2774072600850065,0.2917437418602221,0.3037239548585287,20,0.5
1,0.2492091570481332,0.2123186087802087,0.2301779640792236,0.2491454840801096,0.2682242246074065,0.2840259709838326,20,1
0.5,0.1636702040643804,0.1243364950685849,0.1506669098704486,0.1640478560469624,0.1799536109637455,0.1982056314181062,20,1
0.2,0.1888502694079347,0.1605456067860193,0.1728329893622034,0.1888061179296719,0.2006050305424807,0.2203365698439141,20,1
0.1,0.1977944792876998,0.1678115058540983,0.1819034544107042,0.1972548963627314,0.212214668227476,0.2278493910101833,20,1
0.05,0.2131257368017597,0.1891515792795347,0.197135312120717,0.2142020044596579,0.228219082946216,0.2424285413315501,20,1
0.02,0.24023171411138,0.2076999680763628,0.2279294488392536,0.2403162648020333,0.2535864051839841,0.2689671577631775,20,1
0.01,0.2409840091948388,0.2118307508239722,0.2225678007828631,0.2387042957842719,0.2568938573495269,0.273844147944066,20,1
1,0.2016358382076426,0.1533303904143015,0.1784993818669561,0.2001138094718952,0.2222571074286841,0.259638051384899,20,10
0.5,0.181770737902193,0.1297439235676639,0.1603279507984255,0.1831875472685636,0.2034093037155424,0.224947168004967,20,10
0.2,0.1166118317034685,0.08485377386523293,0.102454509112422,0.1162172563128104,0.1301957593669386,0.143741143865903,20,10
