interval,tau_int,r2m,r2v,r1m,r1v,r1v_step,nch,z,n,kurt,acf1,r2bar
1,1.016998816646423,9.942921961623473,19.59832639790264,-0.03762966969182823,10.11123929724682,9.942291222739014,2000,10,10,-0.0401673602097361,0.016992871232880846,-0.005707803837652792
0.5,0.9995711664086876,20.04597972408324,39.84869138436776,-0.00835969471858779,20.3107872843974,20.04406678353952,2000,10,20,-0.0075654307816119815,0.013306705856563683,0.0022989862041620235
0.2,0.9830672531339744,49.93695687011998,96.44273995031162,0.02679484028409718,48.61187501150507,49.93190934155668,2000,10,50,-0.07114520099376764,-0.026436688431479505,-0.0012608625976003873
0.1,0.9970778174351655,100.0736064295155,200.2725428698021,-0.0634727782795736,101.4573710651627,100.0661494461096,2000,10,100,0.0027254286980209486,0.01390301942019212,7.360642951548257e-4
0.05,0.9977468132201828,200.2769695223326,397.643139941207,0.08562880658538345,199.7545460187458,200.2601570030689,2000,10,200,-0.011784300293965044,-0.0025247707376727657,0.0013848476116629094
0.02,1.003114443508967,500.002760438799,988.6224554732768,0.2336958004736535,503.9700152368461,499.9524909494547,2000,10,500,-0.022755089053446476,0.00803581212239135,5.520877597975371e-6
0.01,0.9972766418419668,999.8944549925978,1971.111156522554,0.537534699403458,1001.522859996804,999.790876285394,2000,10,1000,-0.028888843477445914,0.0017323459860374424,-1.0554500740211914e-4
1,1.00288337663689,10.06012040515131,19.80616960662216,0.00680105437186086,10.08772924339255,10.05881368630892,5000,0.05,10,-0.01938303933778407,0.002874648838857352,0.006012040515130934
0.5,0.9840133406693742,20.07384717060605,40.04139515187439,0.03550884436422545,19.85231205589653,20.07246094704732,5000,0.05,20,0.0020697575937194124,-0.010967708031992651,0.0036923585303025863
0.2,1.005661255605637,49.96875770688901,98.87674778624763,-0.00781993846204564,49.68726447696059,49.96429038510372,5000,0.05,50,-0.022465044275047363,-0.005544477986336505,-6.248458622198916e-4
