interval,p,J,smean,Jstep,G,param,nch,z
0.05,5,244.4379818563966,-0.3236460604508161,228.9163742638621,241.928528293489,N_ch,5,0.1
0.02,0,69.6607017045705,-0.473266132204001,52.14236075459916,49.19472537512256,k_on,5,0.1
0.02,1,72.92413780385185,0.4844158119541351,52.99056043311229,50.36340317053686,k_off,5,0.1
0.02,2,612.7598250752999,0.6978035192249459,486.643803617471,493.5365951763417,i,5,0.1
0.02,3,1143.674680769881,-1.794696869722489,1138.833788683374,1129.81992803603,S,5,0.1
0.02,4,1804.331178849024,8.314391629239825,1798.195819919395,1808.518785602257,baseline,5,0.1
0.02,5,356.4072922778648,0.3543498578290864,292.2706167758383,310.3332901415137,N_ch,5,0.1
0.01,0,71.56037256608953,-0.6346839461174943,51.08136698087528,49.56640365040894,k_on,5,0.1
0.01,1,75.31744525840367,0.6088888696554986,51.66469133705725,50.3759924057176,k_off,5,0.1
0.01,2,707.2296266001954,1.356226618523237,529.6253961857033,535.5533794382936,i,5,0.1
0.01,3,2531.482751238975,-2.486039781487865,2443.948902342307,2439.049372107633,S,5,0.1
0.01,4,1858.454253457363,10.05705892129216,1813.979220732132,1821.526533634363,baseline,5,0.1
0.01,5,449.6646342098798,0.8447956278919206,340.1718049683586,352.9312295015881,N_ch,5,0.1
1,0,32.46796912078162,0.04410489450719449,32.25706846239467,31.75384482924156,k_on,5,1
1,1,40.03931207704951,0.1414446844503345,37.91021539901779,35.60166996030006,k_off,5,1
1,2,137.1521795682698,0.03344915446580877,137.9626696749553,133.4995291186228,i,5,1
1,3,8.417406889899029,-0.2084933701750091,8.334746373867882,8.921767616457906,S,5,1
1,4,173.2144537104178,0.5636784617315951,175.1408541718538,183.0394324682008,baseline,5,1
1,5,106.6738597982198,0.05266971970858025,106.7397727961217,103.8261469283093,N_ch,5,1
0.5,0,34.68796032778097,-0.1659243285652511,33.44786763104054,32.73701253399517,k_on,5,1
0.5,1,36.30262421455709,0.2348151250316048,34.03649263256389,33.72112850417388,k_off,5,1
0.5,2,150.7283974546996,-0.2364242889596732,149.3805411380152,149.1124208896173,i,5,1
0.5,3,22.61084844689493,-0.4012579378062982,23.0052585017191,24.177798548551,S,5,1
0.5,4,183.0499826595353,0.6673800473264814,189.1381077065398,194.7816621191246,baseline,5,1
0.5,5,111.6653743821718,-0.2411553049602943,109.4990997940934,108.2188836471304,N_ch,5,1
0.2,0,36.58401866278005,0.01947391989306257,34.58819269891937,33.37102815913843,k_on,5,1
0.2,1,36.21710619229181,0.1172885302714692,34.08625009407019,33.7700636052104,k_off,5,1
0.2,2,167.9924226181225,0.2459264557590577,165.1642601017097,163.2951555269382,i,5,1
