nch,z,interval,q,se_q
200,1,0.5,5.340058265525948e-4,0.004918408969190238
200,1,1,9.94721469551616e-4,0.0032651324215940184
200,10,0.01,9.176343033577491e-4,0.005334999072657905
200,10,0.02,1.421881656709331e-4,0.001796696858005607
200,10,0.05,2.0995973995660458e-4,0.0021124243121512392
200,10,0.1,5.665454185168707e-4,0.0027089439706807442
200,10,0.2,1.8443520131661097e-4,3.3380687913517137e-4
200,10,0.5,1.72262114681345e-4,0.002834528652422376
200,10,1,5.469731522610065e-4,0.007189645783852849
500,0.05,0.01,6.014261167771313e-4,9.710432916563053e-4
500,0.05,0.02,6.20525262505848e-4,0.0011390296541346745
500,0.05,0.05,7.578862565693009e-4,0.0018090274618914794
500,0.05,0.1,6.208641558335488e-4,0.004146242239808688
500,0.05,0.2,4.5238846472654785e-4,0.0013497861273489395
500,0.05,0.5,6.359590200876259e-4,0.0036430817857548894
500,0.05,1,1.7459947321535714e-4,0.0027207419024368232
500,0.1,0.01,0.001765755686993534,0.0014759897584813457
500,0.1,0.02,0.0017182227940039819,0.00792117789589705
500,0.1,0.05,0.001625565297048328,0.002341703460903039
500,0.1,0.1,7.841442147507265e-4,0.002119842153549872
500,0.1,0.2,6.297500573272581e-4,0.006261316450746263
500,0.1,0.5,6.507381333113164e-4,0.0010553006435313362
500,0.1,1,3.13057128601394e-4,0.011709543317510262
500,0.2,0.01,4.379383680165084e-5,0.0010881235449320206
500,0.2,0.02,3.926833256151319e-4,7.666247902933038e-4
500,0.2,0.05,4.5650599150579035e-4,0.002529791866478825
500,0.2,0.1,1.3026629272448363e-4,4.937568273634208e-4
500,0.2,0.2,7.77192379310297e-4,5.540863957460299e-4
500,0.2,0.5,6.883726003622958e-4,0.004470194405481657
500,0.2,1,5.272026787891598e-4,0.0028175264617156808
500,0.5,0.01,4.6550160683030134e-4,7.057920860421307e-4
500,0.5,0.02,3.547068430185507e-4,0.0036501996423845616
500,0.5,0.05,3.923414265789006e-4,0.0015343163025240642
500,0.5,0.1,5.510851391449407e-4,0.0034232011180234737
500,0.5,0.2,1.8432018050156096e-4,0.001409268093492329
500,0.5,0.5,4.3013675728111966e-4,3.892793172237992e-4
500,0.5,1,0.0010471240916805505,0.005072702181114221
500,1,0.01,4.8471043724826105e-4,0.0016530492520357395
500,1,0.02,9.036282437298834e-4,0.0013239196597296815
500,1,0.05,3.4168108242524234e-4,0.0011754052735056
500,1,0.1,2.1787467566183085e-4,0.003092717757075514
500,1,0.2,2.8733138191831944e-4,0.00304941260396666
500,1,0.5,2.315405922838246e-4,0.0014104000068398473
500,1,1,4.305594290209868e-4,0.0020045207093838057
500,10,0.01,5.696179066316153e-4,4.802288052003872e-4
500,10,0.02,7.540805642315006e-4,0.007800382948073921
500,10,0.05,6.199133597878788e-4,0.004857862482530903
500,10,0.1,0.0011844400393193051,0.0067102146080324256
500,10,0.2,0.0010478482554466383,0.01158137311589599
500,10,0.5,3.8657389295028986e-4,0.009338053913926
500,10,1,3.4269899929317686e-4,0.007967558617339714
1000,0.05,0.01,0.0018450482401855403,0.0013830831136736374
1000,0.05,0.02,3.6393679246078545e-4,0.0015455540175989063
1000,0.05,0.05,4.1196439143305574e-4,0.00263996222116345
1000,0.05,0.1,7.916741972612921e-4,0.006354590130661934
1000,0.05,0.2,4.295134673813934e-4,0.0021324957740097403
1000,0.05,0.5,5.925349015733748e-4,0.0028463819980828415
1000,0.05,1,0.0010159449719733908,0.003024662022976782
1000,0.1,0.01,6.959722590914073e-4,0.003214090121350817
