interval,ebar,s,wmax,lmax,lmin,lmax_m,lmax_lo,lmax_hi,lmin_m,lmin_lo,lmin_hi,ebar_m,ebar_lo,ebar_hi,s2_m,s2_lo,s2_hi,nch,z
0.01,0.008185361672401666,0.11967168437203245,0.19270557155680879,1.2103961889281383,0.824724760823092,1.214094074306223,1.183870420317724,1.248515107681471,0.8196420685723521,0.7830161859951711,0.8629783969843292,0.00758334542258571,-0.00873234140468012,0.03384615535088824,0.01545548197603486,0.0112153782579724,0.01951567214483849,10,0.5
0.02,-0.014728202336223739,0.1456887403302556,0.2493988890875693,1.2310038239637968,0.779269069452645,1.233415492456333,1.197796051414772,1.264681299431217,0.7771018049923508,0.7504265180649358,0.8043850296776702,-0.01508877238430984,-0.0263521125363517,-0.00207216869482778,0.02192579486195187,0.01839259232082576,0.02582168653207732,10,0.5
0.05,-0.0026152591682522225,0.13394226297789263,0.2149812799401585,1.2221045137504762,0.806556538822675,1.225320408393782,1.189013785154462,1.262776998771445,0.8039521437084125,0.7713646845364319,0.830446811073027,-0.00301884293256272,-0.01719891894284565,0.01188081463632222,0.01870561375415946,0.01491517528552379,0.02330922795285,10,0.5
0.1,-0.004133570836694945,0.11859013312250083,0.2101851515377691,1.1974903210053038,0.8104341789435534,1.200931840495813,1.152974156056075,1.236918443128392,0.8075449173737597,0.7828095121341151,0.8309550561099701,-0.00458772435326941,-0.01981085580514932,0.01064980954392849,0.01491886161714049,0.01130426185066599,0.01758930846991967,10,0.5
0.2,-0.017675154495274084,0.10815611951073384,0.18449106128546905,1.1814709747020529,0.8315273726519932,1.18462383991773,1.147443094318648,1.220179845064302,0.8281648404497004,0.80421234579897,0.8591171076367325,-0.0180898050623993,-0.03405732647648477,-0.00391347791427075,0.01248086640367211,0.00995348289538347,0.01558396789585356,10,0.5
0.5,-0.008332474808700606,0.08455968521790734,0.12642634321845997,1.1347658648963512,0.8979020150921982,1.140156217434809,1.097378827582799,1.184002461493172,0.8890892712891751,0.8645974417907605,0.9184742468994463,-0.00878165731414242,-0.0243645987931807,0.01057109780599835,0.00798067692070272,0.005304297281113,0.01063930833946988,10,0.5
1,-0.005455527755131828,0.14651491342320902,0.2765028331158738,1.3185106882060276,0.8186760271434413,1.320323289577204,1.236384893571238,1.395412251299871,0.8150735787090827,0.7830063258442199,0.8535429902002387,-0.00599789617672467,-0.02901692099749092,0.01156369387836349,0.02244060660806324,0.01527375781974867,0.02954226419146451,10,0.5
0.01,-0.013273761515513415,0.1112811742308998,0.19167119757285742,1.1789836022169506,0.8255782760104602,1.182309003026446,1.145846876343584,1.223622578472581,0.822486727302131,0.7956858676051186,0.8527130780559329,-0.013658010592396,-0.02659119528750351,-0.00168715429861814,0.01311774873549433,0.01003013297080595,0.01621979957837561,10,1
0.02,-0.010537661791855493,0.09053548081897152,0.1593688497611076,1.1298237521036856,0.8526817894839063,1.13437874581887,1.095403085322596,1.171429730412308,0.8486478410180779,0.8225213512858962,0.8778864034130789,-0.01099479689331631,-0.02582689772996383,0.00666501313293101,0.00906107498656864,0.00624883487094004,0.01254821494758943,10,1
0.05,-0.006168203910927097,0.10227480123083503,0.16670514546011284,1.1494859599069862,0.8464491539218159,1.154176081781866,1.112623955443823,1.187733019342342,0.8434295138143514,0.8127215889518863,0.873329098979045,-0.00655791046716844,-0.019187334868966,0.00852080440070838,0.01119336166394979,0.00868118501578618,0.01405053211265626,10,1
0.1,-0.00990649119243487,0.0970012871413163,0.16956631419044296,1.141288824900757,0.8440307814065006,1.14580846116386,1.114389504120325,1.183525409681003,0.8408915564768316,0.8124703800723784,0.8660587536931037,-0.01031048335834053,-0.02329190256038694,0.00840961986366134,0.01016540636405709,0.00806286711463692,0.01262011396186674,10,1
0.2,-0.009617374383665585,0.07414378727970475,0.13326937191120625,1.1016410635960334,0.8752292981632741,1.107257212754633,1.076028980882484,1.144768981784946,0.8711188962678079,0.8405012819219501,0.90134758819634,-0.01000261755936129,-0.02496735694130003,0.00360836810141342,0.00621687042091941,0.00437512576999702,0.00814332235703534,10,1
0.5,-0.01506733639557394,0.06918206677714182,0.13028067041826283,1.0880387083115506,0.8778490100918264,1.094511180173891,1.056786844747137,1.13187120962461,0.8731897341187513,0.8413055537736016,0.8999891377735205,-0.0154613336617137,-0.03076256083458773,0.00151184777841188,0.00550951053642346,0.00376357870495162,0.00730569564102187,10,1
