interval,r1_m,r1_lo,r1_hi,r2_m,r2_lo,r2_hi,nch,z,n,r2,r2lo,r2hi,r1
0.1,1.016339464066463,0.7760950887434918,1.257618745192328,99.38029637968968,99.11625431194447,99.58677385359135,20,0.1,100,-0.00619703620310319,-0.008837456880555261,-0.004132261464086517,0.01016339464066463
0.05,1.833385916750474,1.470655158468797,2.132652034522049,199.3956257378099,198.8899866432959,199.7373789368141,20,0.1,200,-0.0030218713109505524,-0.005550066783520435,-0.0013131053159294304,0.00916692958375237
0.02,3.502796818578874,3.028020009373783,4.039775610149441,499.6005025417008,498.8006361526477,500.2494563451971,20,0.1,500,-7.989949165984056e-4,-0.0023987276947046166,4.989126903942598e-4,0.0070055936371577485
0.01,4.653854404300817,4.0536033974423,5.20186900332561,999.8205484811128,998.84274595527,1000.712246799718,20,0.1,1000,-1.7945151888720812e-4,-0.001157254044730105,7.122467997180415e-4,0.004653854404300817
1,0.06565439945440071,0.00303404827148794,0.1273363880731632,9.72843164661672,9.656125699090516,9.805727830356036,20,0.2,10,-0.027156835338328023,-0.03438743009094836,-0.01942721696439642,0.006565439945440071
0.5,0.3167933266631094,0.2157492646886099,0.4222059354719621,19.57866243642662,19.42980457984533,19.68888266743509,20,0.2,20,-0.021066878178669035,-0.028509771007733442,-0.015555866628245374,0.01583966633315547
0.2,0.4973687722892666,0.3450954170956981,0.6158540550092055,49.54956568828464,49.352657684593,49.72162818017863,20,0.2,50,-0.009008686234307284,-0.012946846308140025,-0.005567436396427428,0.009947375445785332
0.1,0.8880064955707471,0.6809077782936406,1.065348490997711,99.52038851727228,99.27283864974515,99.79212812749532,20,0.2,100,-0.004796114827277154,-0.007271613502548457,-0.0020787187250468353,0.008880064955707472
0.05,0.8959922380210837,0.5553715355782547,1.243253063278647,199.317202081466,198.9112615326692,199.7529288742348,20,0.2,200,-0.0034139895926699193,-0.0054436923366540935,-0.0012353556288259293,0.004479961190105419
0.02,2.676945401893734,2.199505857910192,3.128299458623591,499.5969275031669,498.9711478902154,500.1734956090409,20,0.2,500,-8.06144993666158e-4,-0.0020577042195693007,3.4699121808179356e-4,0.005353890803787468
0.01,3.297190745673187,2.596660446566398,3.925895888576453,1000.304613789348,999.3577928512018,1001.307439612674,20,0.2,1000,3.04613789347874e-4,-6.422071487982572e-4,0.0013074396126739884,0.003297190745673187
1,0.04042424326144953,-0.01723154761786417,0.09792215810905376,9.83069267373333,9.739973625442603,9.934238422709392,20,0.5,10,-0.016930732626667,-0.026002637455739608,-0.006576157729060839,0.004042424326144952
0.5,0.1717651037713621,0.08477623116616348,0.2493456408479676,19.81497735574241,19.70582729552181,19.90965739839394,20,0.5,20,-0.009251132212879432,-0.014708635223909416,-0.004517130080303078,0.008588255188568105
0.2,0.3074994965463665,0.143539620856007,0.4970347668018544,49.72104160383324,49.54540144123774,49.93251712405421,20,0.5,50,-0.0055791679233351266,-0.009091971175245184,-0.0013496575189158033,0.00614998993092733
0.1,0.5090640749811576,0.2988262810893452,0.740803460857355,99.89449447439064,99.58181984724264,100.2019535584514,20,0.5,100,-0.0010550552560936177,-0.0041818015275736364,0.002019535584513843,0.005090640749811576
0.05,0.9611429965092064,0.7034833530831788,1.219355788881482,199.7623732048087,199.3200165887328,200.1641302380221,20,0.5,200,-0.001188133975956407,-0.0033999170563359105,8.20651190110544e-4,0.004805714982546032
0.02,1.130372588825286,0.5630467394171632,1.757853475360894,499.9451361901229,499.2342808346084,500.5942377939184,20,0.5,500,-1.097276197541408e-4,-0.0015314383307831747,0.001188475587836857,0.002260745177650572
0.01,1.581171973419471,1.002449879860671,2.175909904535835,999.7371809610984,998.9048735035032,1000.648260381037,20,0.5,1000,-2.628190389015739e-4,-0.001095126496496901,6.482603810369358e-4,0.0015811719734194708
