"nch","z","D","x","S","babs","pabs","sig_abs","zmax","pz","sig_z"
50,10,0.1,15.8113883008419,1,0.00282226025357206,"k_on",FALSE,0.00920237073308209,"k_on",FALSE
50,10,0.2,22.3606797749979,1,0.00275525310130878,"i",FALSE,0.0102340073073545,"i",FALSE
50,10,0.5,35.3553390593274,1,0.00460711513801173,"i",FALSE,0.0154965252807566,"i",FALSE
50,10,1,50,1,0.00215143985657022,"i",FALSE,0.00844188301192284,"k_off",FALSE
100,0.05,0.01,0.05,0.005,0.00259050734221583,"N_ch",FALSE,0.0548048097762589,"baseline",TRUE
100,0.05,0.02,0.0707106781186548,0.005,0.00154021418423149,"i",TRUE,0.0331198238973625,"baseline",TRUE
100,0.05,0.05,0.11180339887499,0.005,0.00178266525061428,"i",TRUE,0.0493621565373807,"baseline",TRUE
100,0.05,0.1,0.158113883008419,0.005,0.00358243962818794,"S",TRUE,0.0299840228764738,"baseline",TRUE
100,0.05,0.2,0.223606797749979,0.005,0.00575068698340068,"S",TRUE,0.0309031334324761,"S",TRUE
100,0.05,0.5,0.353553390593274,0.005,0.0044956460700998,"S",FALSE,0.0146929179410913,"S",FALSE
100,0.05,1,0.5,0.005,0.00625609983910948,"N_ch",FALSE,0.036886122843068,"k_off",TRUE
100,0.1,0.01,0.1,0.01,0.00184819929385348,"N_ch",FALSE,0.0366560399681945,"baseline",TRUE
100,0.1,0.02,0.14142135623731,0.01,0.00235510610502643,"i",TRUE,0.0426633483466433,"baseline",TRUE
100,0.1,0.05,0.223606797749979,0.01,0.00256869529919553,"S",TRUE,0.0350711660134376,"S",TRUE
100,0.1,0.1,0.316227766016838,0.01,0.00273745618945299,"S",TRUE,0.0234778899105284,"S",TRUE
100,0.1,0.2,0.447213595499958,0.01,0.00478695312263197,"S",TRUE,0.0406890004019724,"baseline",TRUE
100,0.1,0.5,0.707106781186548,0.01,0.00549757773569366,"S",FALSE,0.0282225111472178,"k_off",TRUE
100,0.1,1,1,0.01,0.00407029924529136,"S",FALSE,0.0133713543603943,"i",FALSE
100,0.2,0.01,0.2,0.02,0.00144631751087307,"k_on",FALSE,0.0293311708895073,"baseline",TRUE
100,0.2,0.02,0.282842712474619,0.02,0.00170981176309254,"i",TRUE,0.0266782597359459,"baseline",TRUE
100,0.2,0.05,0.447213595499958,0.02,0.00156726497591749,"baseline",TRUE,0.0369337494788226,"baseline",TRUE
100,0.2,0.1,0.632455532033676,0.02,0.00268285272392799,"N_ch",FALSE,0.0188042559996594,"i",FALSE
100,0.2,0.2,0.894427190999916,0.02,0.00156685092768548,"S",FALSE,0.0091744427090887,"k_off",FALSE
100,0.2,0.5,1.4142135623731,0.02,0.0077712396007515,"S",TRUE,0.0293118043426452,"k_off",TRUE
100,0.2,1,2,0.02,0.00871373343509732,"i",TRUE,0.0380928555616252,"i",TRUE
100,0.5,0.01,0.5,0.05,0.00264325586280179,"baseline",TRUE,0.0396841941774375,"baseline",TRUE
100,0.5,0.02,0.707106781186547,0.05,0.00175687405089456,"k_on",FALSE,0.00926342839983267,"k_on",FALSE
100,0.5,0.05,1.11803398874989,0.05,0.001580119357426,"i",FALSE,0.0187454454405778,"baseline",FALSE
100,0.5,0.1,1.58113883008419,0.05,0.00253429159907607,"N_ch",FALSE,0.0204102757053304,"baseline",TRUE
100,0.5,0.2,2.23606797749979,0.05,0.00161079931041747,"baseline",TRUE,0.023991984227596,"baseline",TRUE
100,0.5,0.5,3.53553390593274,0.05,0.00185863769861898,"k_on",FALSE,0.013880117070471,"baseline",FALSE
100,0.5,1,5,0.05,0.00655583203059202,"S",FALSE,0.0151471546574074,"S",FALSE
100,1,0.01,1,0.1,0.00516122371571587,"N_ch",TRUE,0.0270176361033401,"i",TRUE
100,1,0.02,1.41421356237309,0.1,0.00307002934090293,"baseline",TRUE,0.032752542456116,"baseline",TRUE
100,1,0.05,2.23606797749979,0.1,0.00232029114795088,"N_ch",FALSE,0.0158165343258612,"i",FALSE
100,1,0.1,3.16227766016838,0.1,0.00256125125427966,"N_ch",FALSE,0.0175941657912417,"i",FALSE
100,1,0.2,4.47213595499958,0.1,0.0013744244196475,"N_ch",FALSE,0.00740571089456599,"k_off",FALSE
100,1,0.5,7.07106781186548,0.1,0.00852933765592356,"S",TRUE,0.0299913414906278,"S",TRUE
100,1,1,10,0.1,0.00360202143039575,"N_ch",FALSE,0.0119146976449658,"N_ch",FALSE
100,10,0.01,10,1,0.00278527994307159,"k_on",FALSE,0.0159599452781253,"S",FALSE
100,10,0.02,14.142135623731,1,0.00133123945252085,"N_ch",FALSE,0.00794103191355281,"k_off",FALSE
100,10,0.05,22.3606797749979,1,0.00297603411019079,"k_on",FALSE,0.0220870895979386,"S",TRUE
100,10,0.1,31.6227766016838,1,0.00248724477590541,"baseline",FALSE,0.00881862364807388,"baseline",FALSE
100,10,0.2,44.7213595499958,1,0.00376043106552915,"N_ch",FALSE,0.0164057753513231,"i",FALSE
100,10,0.5,70.7106781186548,1,0.00281915161439292,"k_on",FALSE,0.0129269761231601,"k_on",FALSE
100,10,1,100,1,0.0042982463373375,"S",FALSE,0.0112305818322237,"S",FALSE
100,100,0.01,100,10,0.00559199389009774,"baseline",FALSE,0.00715232891133619,"k_off",FALSE
100,100,0.02,141.42135623731,10,0.00285280148149102,"baseline",FALSE,0.012378496837313,"k_off",FALSE
100,100,0.05,223.606797749979,10,0.006409410016614,"baseline",FALSE,0.0111833280162049,"N_ch",FALSE
100,100,0.1,316.227766016838,10,0.0161695231437863,"baseline",FALSE,0.0194785140161247,"baseline",FALSE
100,100,0.2,447.213595499958,10,0.0079687968307102,"N_ch",FALSE,0.0175709824843735,"k_off",FALSE
100,100,0.5,707.106781186548,10,0.00915607082033777,"baseline",FALSE,0.0109091700338462,"baseline",FALSE
100,100,1,1000,10,0.0038560060449203,"baseline",FALSE,0.00533871618379578,"k_off",FALSE
100,1000,0.01,1000,100,0.0235481869499413,"baseline",FALSE,0.0147365147784801,"S",FALSE
100,1000,0.02,1414.2135623731,100,0.0277776585409314,"i",FALSE,0.0153483663039124,"i",FALSE
100,1000,0.05,2236.06797749979,100,0.0393171917024867,"N_ch",TRUE,0.0197253749532167,"N_ch",TRUE
100,1000,0.1,3162.27766016838,100,0.0439428754278634,"baseline",FALSE,0.028300952660928,"k_off",TRUE
100,1000,0.2,4472.13595499958,100,0.0356418175773394,"baseline",FALSE,0.0138418295186242,"baseline",FALSE
100,1000,0.5,7071.06781186548,100,0.021048645947463,"baseline",FALSE,0.00846886149436615,"i",FALSE
100,1000,1,10000,100,0.0491318730994532,"baseline",FALSE,0.0262329878171673,"k_off",TRUE
100,10000,0.01,10000,1000,0.109199466645227,"N_ch",FALSE,0.00719013160561403,"N_ch",FALSE
100,10000,0.02,14142.135623731,1000,0.138989870479367,"N_ch",FALSE,0.0194411640214739,"k_on",TRUE
100,10000,0.05,22360.6797749979,1000,0.0749685936914716,"baseline",FALSE,0.0131293911693261,"S",FALSE
100,10000,0.1,31622.7766016838,1000,0.128555546120658,"i",FALSE,0.0103091175427018,"S",FALSE
100,10000,0.2,44721.3595499958,1000,0.145552389153364,"i",FALSE,0.00892626297880847,"i",FALSE
100,10000,0.5,70710.6781186548,1000,0.14874489957946,"N_ch",FALSE,0.00970758117416428,"baseline",FALSE
100,10000,1,1e+05,1000,0.119743953405049,"baseline",FALSE,0.0143148166280964,"baseline",FALSE
100,1e+05,0.01,1e+05,10000,1.12838828869807,"N_ch",FALSE,0.015382975761469,"baseline",FALSE
100,1e+05,0.02,141421.356237309,10000,2.04831284430595,"N_ch",FALSE,0.0256521784283322,"baseline",TRUE
100,1e+05,0.05,223606.797749979,10000,0.494047057504986,"baseline",FALSE,0.0192374046874513,"baseline",FALSE
100,1e+05,0.1,316227.766016838,10000,0.188498696705007,"i",FALSE,0.0228418578477384,"k_on",TRUE
100,1e+05,0.2,447213.595499958,10000,1.76475972564345,"N_ch",FALSE,0.0168200042031195,"k_on",FALSE
100,1e+05,0.5,707106.781186548,10000,2.43271777469292,"N_ch",FALSE,0.0133058427569242,"N_ch",FALSE
100,1e+05,1,1e+06,10000,1.44609116903728,"N_ch",FALSE,0.0275900133383024,"k_off",TRUE
200,0.05,0.01,0.1,0.005,0.00074933729981321,"N_ch",FALSE,0.00788753713337522,"i",FALSE
200,0.05,0.02,0.14142135623731,0.005,0.00141767286965596,"N_ch",FALSE,0.0168387928600053,"i",TRUE
200,0.05,0.05,0.223606797749979,0.005,0.00192494138407588,"k_on",FALSE,0.0149450607551707,"baseline",FALSE
200,0.05,0.1,0.316227766016838,0.005,0.00165596858787833,"k_on",FALSE,0.0206770790352639,"k_off",FALSE
200,0.05,0.2,0.447213595499958,0.005,0.00146680122309613,"i",FALSE,0.0137456409608424,"i",FALSE
200,0.05,0.5,0.707106781186548,0.005,0.00449795280053381,"S",FALSE,0.0146531839605326,"S",FALSE
200,0.05,1,1,0.005,0.00402609440076433,"k_on",TRUE,0.0263384785611359,"k_on",TRUE
200,0.1,0.01,0.2,0.01,0.00092681131622282,"N_ch",FALSE,0.0178973161083119,"baseline",TRUE
200,0.1,0.02,0.282842712474619,0.01,0.00050007377693269,"i",FALSE,0.00759969629641214,"i",FALSE
200,0.1,0.05,0.447213595499958,0.01,0.00194279346049854,"k_on",FALSE,0.0139958824932163,"k_on",FALSE
200,0.1,0.1,0.632455532033676,0.01,0.00161611562496164,"S",FALSE,0.0130282218713845,"S",FALSE
200,0.1,0.2,0.894427190999916,0.01,0.00142898544123478,"k_on",FALSE,0.0151628587777732,"k_off",FALSE
200,0.1,0.5,1.4142135623731,0.01,0.00367619964902768,"S",FALSE,0.0153167964939609,"k_off",FALSE
200,0.1,1,2,0.01,0.00269869400313322,"S",FALSE,0.0115626484820369,"baseline",FALSE
200,0.2,0.01,0.4,0.02,0.0025978766896644,"k_on",FALSE,0.01983300639607,"S",FALSE
200,0.2,0.02,0.565685424949238,0.02,0.00050650175993316,"k_on",FALSE,0.00822711501092655,"S",FALSE
