interval_in_tau,param_index,m,lo,hi,se,nch,z
0.5,2,-0.01920835639128672,-0.02360696580857381,-0.0149384485768171,0.2220445448764363,10,0.1
0.5,3,-0.04295597645880803,-0.0481874734390222,-0.03594523397734111,0.2663150853275465,10,0.1
0.5,4,0.00106607502698659,5.9691603509646e-4,0.00172507453923379,0.026944980546033802,10,0.1
0.5,5,0.0418706650766572,0.03228721962966186,0.0507689680605338,0.44524974275631324,10,0.1
0.2,0,-0.01088145634428252,-0.01737725987167595,-0.00213206694881849,0.3861424428248213,10,0.1
0.2,1,0.0159345314332424,0.01276246953391493,0.01924229918129189,0.18178255385675077,10,0.1
0.2,2,-0.00628005319264951,-0.00990256185391223,-0.00348258936352774,0.1943350200595993,10,0.1
0.2,3,-0.02749781909965678,-0.0302277619897495,-0.02465407243694069,0.147196964159509,10,0.1
0.2,4,0.00174777284843941,0.00128033482192141,0.00214989702106151,0.0258454790671862,10,0.1
0.2,5,0.01928869742115602,0.01333135986460575,0.02615733081506115,0.4047079272055961,10,0.1
0.1,0,-2.7029958210608e-4,-0.00877925609138991,0.00748400914945525,0.342489363453854,10,0.1
0.1,1,0.0102584473462014,0.00549417298001516,0.01360245911872704,0.17438887490870905,10,0.1
0.1,2,-8.0546526530162e-4,-0.00377359063880353,0.00307113298770473,0.18119903024479142,10,0.1
0.1,3,-0.01199715825579312,-0.01449689462003987,-0.01014947360026441,0.09302814748930933,10,0.1
0.1,4,0.00220991430737604,0.00174378225346839,0.00266789147394544,0.025557209169931094,10,0.1
0.1,5,0.00406662128145343,-0.00414471426577793,0.01209710162421026,0.360875893860929,10,0.1
0.05,0,-0.00317993443316688,-0.0096253562640873,0.00311279846375324,0.3199147048663695,10,0.1
0.05,1,0.00933512600737218,0.00552251162368609,0.01292953112525703,0.1710896857289044,10,0.1
0.05,2,-0.00128941995804069,-0.0045226072780887,0.00132189911266103,0.1763981341737891,10,0.1
0.05,3,-0.00605571128452246,-0.00726642680750827,-0.00505662740247909,0.05769255203053155,10,0.1
0.05,4,0.00300036985551791,0.00261097555906999,0.00351814118423706,0.025426499594181067,10,0.1
0.05,5,0.00616489107913999,-1.988872973692e-4,0.01256531061881069,0.34000082113950975,10,0.1
0.02,0,-0.01059723572196673,-0.01574749843877432,-0.00423722602479229,0.2866418396610388,10,0.1
0.02,1,0.00490033332342493,0.00103389916904239,0.00872085201773784,0.1666922158888816,10,0.1
0.02,2,-4.287861879852183e-5,-0.00300711781747209,0.00284588739994912,0.16920567135021183,10,0.1
0.02,3,-0.00137085295378767,-0.0020974881334207,-5.5718390898614e-4,0.031611787339060726,10,0.1
0.02,4,0.00414158031693969,0.00371848381391808,0.00462092115526108,0.0253404623526912,10,0.1
0.02,5,0.00799417692045109,0.00347905600545853,0.01291336640551004,0.3048296115026794,10,0.1
0.01,0,-0.00972193084521132,-0.01496565319302452,-0.00417409743001331,0.2785342344935865,10,0.1
