nch,z,interval,mahal,note
20,0.2,1,0.08944430526037475,
20,0.5,0.01,0.05876388141342883,
20,0.5,0.02,0.0817610493252837,
20,0.5,0.05,0.08574000701116913,
20,0.5,0.1,0.07440104597799657,
20,0.5,0.2,0.08908259181608418,
20,0.5,0.5,0.08203733648500429,
20,0.5,1,0.06916551257817707,
20,1,0.01,0.07055256638445305,
20,1,0.02,0.06083489215816178,
20,1,0.05,0.048547697852079685,
20,1,0.1,0.04425932655203438,
20,1,0.2,0.05447707626891125,
20,1,0.5,0.06577924028324553,
20,1,1,0.05747642193031547,
20,10,0.01,0.02782814098145264,
20,10,0.02,0.020559037952550548,
20,10,0.05,0.02591590151864902,
20,10,0.1,0.014384707054902657,
20,10,0.2,0.023987159319092694,
20,10,0.5,0.030350968301722635,
20,10,1,0.020636045497609338,
50,0.05,0.01,0.10323374798573577,
50,0.05,0.02,0.0954806180531182,
50,0.05,0.05,0.084437987473057,
50,0.05,0.1,0.08406359083360669,
50,0.05,0.2,0.09316762524973343,
50,0.05,0.5,0.08628383574106277,
50,0.05,1,0.05327209310313802,
50,0.1,0.01,0.08329967065915482,
50,0.1,0.02,0.07998067919973677,
50,0.1,0.05,0.07758244826068687,
50,0.1,0.1,0.07385445935136664,
50,0.1,0.2,0.09147930612478761,
50,0.1,0.5,0.057174684340178195,
50,0.1,1,0.05096173374720879,
50,0.2,0.01,0.08757672001872824,
50,0.2,0.02,0.06535942734642274,
50,0.2,0.05,0.061476146254949696,
50,0.2,0.1,0.05634553894326724,
50,0.2,0.2,0.05936668995823363,
50,0.2,0.5,0.0496810735257688,
50,0.2,1,0.03134893910110272,
50,0.5,0.01,0.05032245432548049,
50,0.5,0.02,0.05026220684875562,
50,0.5,0.05,0.03866781216471876,
50,0.5,0.1,0.06046464528073443,
50,0.5,0.2,0.06675195596919231,
50,0.5,0.5,0.04789158533401874,
50,0.5,1,0.050507890736371644,
50,1,0.01,0.0225350421842456,
50,1,0.02,0.047504035652197255,
50,1,0.05,0.0187507471806209,
50,1,0.1,0.020941751791751197,
50,1,0.2,0.04921681733828478,
50,1,0.5,0.037991892370019265,
50,1,1,0.028057343343299037,
50,10,0.01,0.03780936010980031,
50,10,0.02,0.02792012618517755,
50,10,0.05,0.02759076312536569,
50,10,0.1,0.02727382237435035,
50,10,0.2,0.01521260850463337,
50,10,0.5,0.021172251055827717,
50,10,1,0.019121245369953587,
100,0.05,0.01,0.061177171764530136,
100,0.05,0.02,0.05536508049890586,
100,0.05,0.05,0.06030844302612003,
100,0.05,0.1,0.04534615683542868,
100,0.05,0.2,0.03790108702103521,
100,0.05,0.5,0.01840304108551591,
100,0.05,1,0.04024567778641665,
100,0.1,0.01,0.04602816852272923,
100,0.1,0.02,0.05682946922123042,
100,0.1,0.05,0.04450083980100256,
100,0.1,0.1,0.02823034060003831,
100,0.1,0.2,0.052250352813234466,
100,0.1,0.5,0.037636482710817,
100,0.1,1,0.01979390425729657,
100,0.2,0.01,0.030554690209204836,
100,0.2,0.02,0.0400928110223089,
100,0.2,0.05,0.041539274764452704,
100,0.2,0.1,0.03326369779588358,
100,0.2,0.2,0.020235631317345765,
100,0.2,0.5,0.045491292719883725,
100,0.2,1,0.04327110526005242,
100,0.5,0.01,0.045470524669969994,
100,0.5,0.02,0.028805190221233387,
100,0.5,0.05,0.03027998889175686,
100,0.5,0.1,0.03006236321457542,
100,0.5,0.2,0.03291946396472923,
100,0.5,0.5,0.031160739432148355,
100,0.5,1,0.018315001679181157,
100,1,0.01,0.03753093722309056,
100,1,0.02,0.03729074023366451,
100,1,0.05,0.01694899268687508,
100,1,0.1,0.022398531088083134,
100,1,0.2,0.01417203931088176,
100,1,0.5,0.03486205549209479,
100,1,1,0.013932006403965644,
100,10,0.01,0.02355795194628719,
100,10,0.02,0.01850620889469958,
100,10,0.05,0.027791966391852916,
100,10,0.1,0.01256602723109469,
100,10,0.2,0.024599323164397967,
100,10,0.5,0.022864835446803396,
100,10,1,0.017880203695578568,
100,100,0.01,0.014443404663713827,
100,100,0.02,0.018975126469272286,
100,100,0.05,0.019801262272527122,
100,100,0.1,0.0265906663371598,
100,100,0.2,0.027567837818376763,
100,100,0.5,0.014592103845990094,
100,100,1,0.010275272376737895,
100,1000,0.01,0.033094484340645346,
