i_step,time,i_sub_step,number_of_samples,ATP_concentration
405,363.831810000001,0,685.0,0.0
406,363.845510000001,0,685.0,0.0
407,363.859200000001,0,684.0,0.0
408,363.872890000001,0,685.0,0.0
409,363.886590000001,0,685.0,0.0
410,363.900290000001,0,685.0,0.0
411,363.9139800000009,0,684.0,0.0
412,363.927670000001,0,685.0,0.0
413,363.94137,0,685.0,0.0
414,363.95507,0,685.0,0.0
415,363.96877,0,685.0,0.0
416,363.98246,0,684.0,0.0
417,363.99615,0,685.0,0.0
418,364.00985,0,685.0,0.0
419,364.02355,0,685.0,0.0
420,364.03724,0,684.0,0.0
421,364.05093,0,685.0,0.0
422,364.06463,0,685.0,0.0
423,364.07833,0,685.0,0.0
424,364.09203,0,685.0,0.0
425,364.10572,0,684.0,0.0
426,364.11941,0,685.0,0.0
427,364.13311,0,685.0,0.0
428,364.14681,0,685.0,0.0
429,364.16051,0,685.0,0.0
430,364.1742,0,684.0,0.0
431,364.18789,0,685.0,0.0
432,364.20159,0,685.0,0.0
433,364.21529,0,685.0,0.0
434,364.22898,0,684.0,0.0
435,364.24267,0,685.0,0.0
436,364.25637,0,685.0,0.0
437,364.27007,0,685.0,0.0
438,364.28377,0,685.0,0.0
439,364.29746,0,684.0,0.0
440,364.31115,0,685.0,0.0
441,364.32485,0,685.0,0.0
442,364.33855,0,685.0,0.0
443,364.35224,0,684.0,0.0
444,364.36593,0,685.0,0.0
445,364.37963,0,685.0,0.0
446,364.38653000000005,0,5.0,0.0
447,364.38663,0,5.0,0.0
448,364.38671,0,2.1054962638664687,0.0
448,364.38674999999995,1,2.8945037361335313,919.394684167733
449,364.38683000000003,0,5.0,919.3946841677331
450,364.38689999999997,0,1.4046197044109139,919.394684167733
450,364.38694,1,3.595380295589086,0.0
451,364.3870275,0,5.0,0.0
452,364.387132,0,6.0,0.0
453,364.387245,0,5.0,0.0
454,364.38736500000005,0,7.0,0.0
455,364.38749,0,5.0,0.0
456,364.38761,0,7.0,0.0
457,364.38776,0,8.0,0.0
458,364.38794,0,10.0,0.0
459,364.38817,0,13.0,0.0
460,364.38846,0,16.0,0.0
461,364.38883,0,21.0,0.0
462,364.3893,0,26.0,0.0
463,364.38988,0,32.0,0.0
464,364.39062,0,42.0,0.0
465,364.39155,0,51.0,0.0
466,364.39271,0,65.0,0.0
467,364.39418,0,82.0,0.0
468,364.396030000001,0,103.0,0.0
469,364.398360000001,0,130.0,0.0
470,364.401290000001,0,163.0,0.0
471,364.404980000001,0,206.0,0.0
472,364.409630000001,0,259.0,0.0
473,364.415480000001,0,326.0,0.0
474,364.422840000001,0,410.0,0.0
475,364.432110000001,0,517.0,0.0
476,364.443780000001,0,650.0,0.0
477,364.458470000001,0,819.0,0.0
478,364.476970000001,0,1031.0,0.0
479,364.500260000001,0,1298.0,0.0
480,364.529570000001,0,1633.0,0.0
481,364.566470000001,0,2057.0,0.0
482,364.612930000001,0,2589.0,0.0
483,364.671420000001,0,3260.0,0.0
484,364.74506,0,4104.0,0.0
485,364.83776,0,5166.0,0.0
486,364.95446,0,6504.0,0.0
487,365.10138,0,8188.0,0.0
488,365.2863400000001,0,10308.0,0.0
489,365.51919,0,12977.0,0.0
490,365.81233,0,16337.0,0.0
491,366.18137,0,20567.0,0.0
492,366.64597,0,25893.0,0.0
493,367.21025,0,30535.0,0.0
494,396.0155999999999,0,2850000.0,0.0
495,424.5181,0,0.0,0.0
495,424.5181,1,250.0,1000.0
496,424.5231,0,250.0,1000.0
497,454.5206,0,2999500.0,0.0
498,484.52245,0,685.0,0.0
499,484.53615,0,685.0,0.0
500,484.54984,0,684.0,0.0
501,484.56353,0,685.0,0.0
502,484.57723,0,685.0,0.0
503,484.59093,0,685.0,0.0
504,484.60462,0,684.0,0.0
505,484.61831,0,685.0,0.0
506,484.63201,0,685.0,0.0
507,484.64571,0,685.0,0.0
508,484.65941,0,685.0,0.0
509,484.6731,0,684.0,0.0
510,484.68679,0,685.0,0.0
511,484.70049,0,685.0,0.0
512,484.71419,0,685.0,0.0
513,484.72788,0,684.0,0.0
514,484.74157,0,685.0,0.0
515,484.75527,0,685.0,0.0
516,484.76897,0,685.0,0.0
517,484.78267,0,685.0,0.0
518,484.79636,0,684.0,0.0
519,484.81005,0,685.0,0.0
520,484.82375,0,685.0,0.0
521,484.83745,0,685.0,0.0
522,484.85115,0,685.0,0.0
523,484.86484,0,684.0,0.0
524,484.87853,0,685.0,0.0
525,484.89223,0,685.0,0.0
526,484.90593,0,685.0,0.0
527,484.91962,0,684.0,0.0
528,484.93331,0,685.0,0.0
529,484.94701,0,685.0,0.0
530,484.96071,0,685.0,0.0
531,484.974409999999,0,685.0,0.0
532,484.988099999999,0,684.0,0.0
533,485.001789999999,0,685.0,0.0
534,485.015489999999,0,685.0,0.0
535,485.029189999999,0,685.0,0.0
536,485.042879999999,0,684.0,0.0
537,485.056569999999,0,685.0,0.0
538,485.070269999999,0,685.0,0.0
539,485.083969999999,0,685.0,0.0
540,485.097669999999,0,685.0,0.0
541,485.111359999999,0,684.0,0.0
542,485.125049999999,0,685.0,0.0
543,485.138749999999,0,685.0,0.0
544,485.152449999999,0,685.0,0.0
545,485.166139999999,0,684.0,0.0
546,485.179829999999,0,685.0,0.0
547,485.193529999999,0,685.0,0.0
548,485.207229999999,0,685.0,0.0
549,485.220929999999,0,685.0,0.0
550,485.234619999999,0,684.0,0.0
551,485.248309999999,0,685.0,0.0
552,485.262009999999,0,685.0,0.0
553,485.275709999999,0,685.0,0.0
554,485.289409999999,0,685.0,0.0
555,485.303099999999,0,684.0,0.0
556,485.316789999999,0,685.0,0.0
557,485.330489999999,0,685.0,0.0
558,485.344189999999,0,685.0,0.0
559,485.357879999999,0,684.0,0.0
560,485.371569999999,0,685.0,0.0
561,485.385269999999,0,685.0,0.0
562,485.398969999999,0,685.0,0.0
563,485.412669999999,0,685.0,0.0
564,485.426359999999,0,684.0,0.0
565,485.440049999999,0,685.0,0.0
566,485.453749999999,0,685.0,0.0
567,485.467449999999,0,685.0,0.0
568,485.481139999999,0,684.0,0.0
569,485.494829999999,0,685.0,0.0
570,485.508529999999,0,685.0,0.0
571,485.515429999999,0,5.0,0.0
572,485.51552999999893,0,5.0,0.0
573,485.515609999999,0,2.1048267409973844,0.0
573,485.51564999999897,1,2.8951732590026156,1837.9971781904903
574,485.515729999999,0,5.0,1837.99717819049
575,485.515799999999,0,1.4089724606679042,1837.99717819049
575,485.515839999999,1,3.591027539332096,0.0
576,485.515927499999,0,5.0,0.0
577,485.516031999999,0,6.0,0.0
578,485.516144999999,0,5.0,0.0
579,485.51626499999895,0,7.0,0.0
580,485.516389999999,0,5.0,0.0
581,485.516509999999,0,7.0,0.0
582,485.516659999999,0,8.0,0.0
583,485.516839999999,0,10.0,0.0
584,485.517069999999,0,13.0,0.0
585,485.517359999999,0,16.0,0.0
586,485.517729999999,0,21.0,0.0
587,485.518199999999,0,26.0,0.0
588,485.518779999999,0,32.0,0.0
589,485.519519999999,0,42.0,0.0
590,485.520449999999,0,51.0,0.0
591,485.521609999999,0,65.0,0.0
592,485.523079999999,0,82.0,0.0
593,485.524929999999,0,103.0,0.0
594,485.527259999999,0,130.0,0.0
595,485.530189999999,0,163.0,0.0
596,485.533879999999,0,206.0,0.0
597,485.538529999999,0,259.0,0.0
598,485.544379999999,0,326.0,0.0
599,485.551739999999,0,410.0,0.0
600,485.561009999999,0,517.0,0.0
601,485.572679999999,0,650.0,0.0
602,485.587369999999,0,819.0,0.0
603,485.605869999999,0,1031.0,0.0
604,485.629159999999,0,1298.0,0.0
605,485.658469999999,0,1633.0,0.0
606,485.695369999999,0,2057.0,0.0
607,485.741829999999,0,2589.0,0.0
608,485.800319999999,0,3260.0,0.0
609,485.873959999999,0,4104.0,0.0
610,485.966659999999,0,5166.0,0.0
611,486.083359999999,0,6504.0,0.0
612,486.230279999999,0,8188.0,0.0
613,486.415239999999,0,10308.0,0.0
614,486.648089999999,0,12977.0,0.0
615,486.941229999999,0,16337.0,0.0
616,487.310269999999,0,20567.0,0.0
617,487.774869999999,0,25893.0,0.0
618,488.339149999999,0,30535.0,0.0
619,517.144499999999,0,2850000.0,0.0
620,545.6469999999989,0,0.0,0.0
620,545.6469999999989,1,250.0,1000.0
621,545.6519999999989,0,250.0,1000.0
622,575.649499999999,0,2999500.0,0.0
623,605.6513499999991,0,685.0,0.0
624,605.665049999999,0,685.0,0.0
625,605.6787399999989,0,684.0,0.0
626,605.692429999999,0,685.0,0.0
627,605.706129999999,0,685.0,0.0
628,605.719829999999,0,685.0,0.0
629,605.733519999999,0,684.0,0.0
630,605.7472099999991,0,685.0,0.0
631,605.760909999999,0,685.0,0.0
632,605.774609999999,0,685.0,0.0
633,605.788309999999,0,685.0,0.0
634,605.801999999999,0,684.0,0.0
635,605.815689999999,0,685.0,0.0
636,605.829389999999,0,685.0,0.0
637,605.843089999999,0,685.0,0.0
638,605.856779999998,0,684.0,0.0
